Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.recdevs_bias,Size_DblN_peak_Triennial1(5),24.0549,2,10,60,30,-2.5089e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_Triennial1(5),-7,3,-7,7,-7,-3.44284e-7,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_Triennial1(5),3.97303,3,-5,10,3,7.37256e-7,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_Triennial1(5),3.71426,4,-5,10,5,-2.35472e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_Triennial1(5),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_Triennial1(5),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_Triennial2(6),22.8446,2,10,60,30,-3.13451e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_Triennial2(6),-7,3,-7,7,0,6.51669e-7,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_Triennial2(6),4.17999,3,-5,10,3,1.97473e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_Triennial2(6),4.43825,4,-5,10,5,1.06198e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_Triennial2(6),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_Triennial2(6),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_AFSCslope(7),21.2215,2,10,60,30,-3.95819e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_AFSCslope(7),-7,3,-7,7,-7,-4.28512e-7,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_AFSCslope(7),3.76381,3,-5,10,3,4.5884e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_AFSCslope(7),5.61091,4,-5,10,5,-5.15964e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_AFSCslope(7),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_AFSCslope(7),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_NWFSCslope(8),22.5685,2,10,60,30,-3.68758e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_NWFSCslope(8),-7,3,-7,7,0,-1.52439e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_NWFSCslope(8),3.83435,3,-5,10,3,3.14578e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_NWFSCslope(8),6.11628,4,-5,10,5,5.0389e-7,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_NWFSCslope(8),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_NWFSCslope(8),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_NWFSCcombo(9),28.9992,2,10,60,30,-3.28978e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_NWFSCcombo(9),-0.961387,3,-7,7,0,-7.43754e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_NWFSCcombo(9),4.68807,3,-5,10,3,8.13905e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_NWFSCcombo(9),5.40814,4,-5,10,5,-7.42885e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_NWFSCcombo(9),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_NWFSCcombo(9),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_infl_Trawl_N(1)_BLK1delta_2007,-5.54594,4,-10,10,0,-2.26136e-5,Normal,0,5,0.61515,-6.06,-5.03189
23.model.recdevs_bias,Retain_L_infl_Trawl_N(1)_BLK1delta_2011,-5.30855,4,-10,10,0,-2.79645e-5,Normal,0,5,0.563614,-5.71413,-4.90297
23.model.recdevs_bias,Retain_L_asymptote_logit_Trawl_N(1)_BLK1delta_2007,0.5,4,-0.5,0.5,0,3.76926e-7,Normal,0,0.2,3.125,0.499963,0.5
23.model.recdevs_bias,Retain_L_asymptote_logit_Trawl_N(1)_BLK1delta_2011,0.499999,4,-0.5,0.5,0,-1.47589e-7,Normal,0,0.2,3.12499,0.498662,0.5
